17/03/23 06:19:13 INFO gcs.GoogleHadoopFileSystemBase: GHFS version: 1.6.0-hadoop2
17/03/23 06:19:14 INFO client.RMProxy: Connecting to ResourceManager at cluster19-m/10.138.0.3:8032
17/03/23 06:19:15 WARN mapreduce.JobResourceUploader: Hadoop command-line option parsing not performed. Implement the Tool interface and execute your application with ToolRunner to remedy this.
17/03/23 06:19:17 INFO input.FileInputFormat: Total input paths to process : 3036
17/03/23 06:19:17 INFO mapreduce.JobSubmitter: number of splits:3036
17/03/23 06:19:17 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1490235534738_0005
17/03/23 06:19:17 INFO impl.YarnClientImpl: Submitted application application_1490235534738_0005
17/03/23 06:19:17 INFO mapreduce.Job: The url to track the job: http://cluster19-m:8088/proxy/application_1490235534738_0005/
17/03/23 06:19:17 INFO mapreduce.Job: Running job: job_1490235534738_0005
17/03/23 06:19:23 INFO mapreduce.Job: Job job_1490235534738_0005 running in uber mode : false
17/03/23 07:00:22 INFO mapreduce.Job:  map 71% reduce 4%
17/03/23 07:01:06 INFO mapreduce.Job:  map 72% reduce 4%
17/03/23 07:01:46 INFO mapreduce.Job:  map 73% reduce 4%
17/03/23 07:02:29 INFO mapreduce.Job:  map 74% reduce 4%
17/03/23 07:03:09 INFO mapreduce.Job:  map 75% reduce 4%
17/03/23 07:03:48 INFO mapreduce.Job:  map 76% reduce 4%
17/03/23 07:04:28 INFO mapreduce.Job:  map 77% reduce 4%
17/03/23 07:05:08 INFO mapreduce.Job:  map 78% reduce 4%
17/03/23 07:05:49 INFO mapreduce.Job:  map 79% reduce 4%
17/03/23 07:06:28 INFO mapreduce.Job:  map 80% reduce 4%
17/03/23 07:07:06 INFO mapreduce.Job:  map 81% reduce 4%
17/03/23 07:07:27 INFO mapreduce.Job:  map 81% reduce 5%
17/03/23 07:07:44 INFO mapreduce.Job:  map 82% reduce 5%
17/03/23 07:08:20 INFO mapreduce.Job:  map 83% reduce 5%
17/03/23 07:09:00 INFO mapreduce.Job:  map 84% reduce 5%
17/03/23 07:09:37 INFO mapreduce.Job:  map 85% reduce 5%
17/03/23 07:10:18 INFO mapreduce.Job:  map 86% reduce 5%
17/03/23 07:11:00 INFO mapreduce.Job:  map 87% reduce 5%
17/03/23 07:11:41 INFO mapreduce.Job:  map 88% reduce 5%
17/03/23 07:12:19 INFO mapreduce.Job:  map 89% reduce 5%
17/03/23 07:12:56 INFO mapreduce.Job:  map 90% reduce 5%
17/03/23 07:13:34 INFO mapreduce.Job:  map 91% reduce 5%
17/03/23 07:14:13 INFO mapreduce.Job:  map 92% reduce 5%
17/03/23 07:14:54 INFO mapreduce.Job:  map 93% reduce 5%
17/03/23 07:15:30 INFO mapreduce.Job:  map 94% reduce 5%
17/03/23 07:16:09 INFO mapreduce.Job:  map 95% reduce 5%
17/03/23 07:16:51 INFO mapreduce.Job:  map 96% reduce 5%
17/03/23 07:17:30 INFO mapreduce.Job:  map 97% reduce 5%
17/03/23 07:18:11 INFO mapreduce.Job:  map 98% reduce 5%
17/03/23 07:18:48 INFO mapreduce.Job:  map 99% reduce 5%
17/03/23 07:19:10 INFO mapreduce.Job:  map 99% reduce 6%
17/03/23 07:19:28 INFO mapreduce.Job:  map 100% reduce 6%
17/03/23 07:19:49 INFO mapreduce.Job:  map 100% reduce 7%
17/03/23 07:19:51 INFO mapreduce.Job:  map 100% reduce 14%
17/03/23 07:19:52 INFO mapreduce.Job:  map 100% reduce 16%
17/03/23 07:19:54 INFO mapreduce.Job:  map 100% reduce 17%
17/03/23 07:19:55 INFO mapreduce.Job:  map 100% reduce 18%
17/03/23 07:19:56 INFO mapreduce.Job:  map 100% reduce 22%
17/03/23 07:19:57 INFO mapreduce.Job:  map 100% reduce 23%
17/03/23 07:19:58 INFO mapreduce.Job:  map 100% reduce 24%
17/03/23 07:19:59 INFO mapreduce.Job:  map 100% reduce 25%
17/03/23 07:20:00 INFO mapreduce.Job:  map 100% reduce 26%
17/03/23 07:20:03 INFO mapreduce.Job:  map 100% reduce 27%
17/03/23 07:20:05 INFO mapreduce.Job:  map 100% reduce 28%
17/03/23 07:20:07 INFO mapreduce.Job:  map 100% reduce 29%
17/03/23 07:20:08 INFO mapreduce.Job:  map 100% reduce 30%
17/03/23 07:20:09 INFO mapreduce.Job:  map 100% reduce 31%
17/03/23 07:20:10 INFO mapreduce.Job:  map 100% reduce 32%
17/03/23 07:20:12 INFO mapreduce.Job:  map 100% reduce 33%
17/03/23 07:20:13 INFO mapreduce.Job:  map 100% reduce 34%
17/03/23 07:20:14 INFO mapreduce.Job:  map 100% reduce 35%
17/03/23 07:20:16 INFO mapreduce.Job:  map 100% reduce 36%
17/03/23 07:20:19 INFO mapreduce.Job:  map 100% reduce 37%
17/03/23 07:20:22 INFO mapreduce.Job:  map 100% reduce 38%
17/03/23 07:20:24 INFO mapreduce.Job:  map 100% reduce 39%
17/03/23 07:20:26 INFO mapreduce.Job:  map 100% reduce 42%
17/03/23 07:20:27 INFO mapreduce.Job:  map 100% reduce 43%
17/03/23 07:20:29 INFO mapreduce.Job:  map 100% reduce 48%
17/03/23 07:20:32 INFO mapreduce.Job:  map 100% reduce 50%
17/03/23 07:20:33 INFO mapreduce.Job:  map 100% reduce 51%
17/03/23 07:20:35 INFO mapreduce.Job:  map 100% reduce 52%
17/03/23 07:20:38 INFO mapreduce.Job:  map 100% reduce 57%
17/03/23 07:20:41 INFO mapreduce.Job:  map 100% reduce 59%
17/03/23 07:20:43 INFO mapreduce.Job:  map 100% reduce 62%
17/03/23 07:20:44 INFO mapreduce.Job:  map 100% reduce 64%
17/03/23 07:20:46 INFO mapreduce.Job:  map 100% reduce 65%
17/03/23 07:20:47 INFO mapreduce.Job:  map 100% reduce 67%
17/03/23 07:20:50 INFO mapreduce.Job:  map 100% reduce 68%
17/03/23 07:20:52 INFO mapreduce.Job:  map 100% reduce 69%
17/03/23 07:20:53 INFO mapreduce.Job:  map 100% reduce 70%
17/03/23 07:20:56 INFO mapreduce.Job:  map 100% reduce 71%
17/03/23 07:20:57 INFO mapreduce.Job:  map 100% reduce 75%
17/03/23 07:20:58 INFO mapreduce.Job:  map 100% reduce 76%
17/03/23 07:20:59 INFO mapreduce.Job:  map 100% reduce 80%
17/03/23 07:21:00 INFO mapreduce.Job:  map 100% reduce 82%
17/03/23 07:21:02 INFO mapreduce.Job:  map 100% reduce 83%
17/03/23 07:21:03 INFO mapreduce.Job:  map 100% reduce 84%
17/03/23 07:21:06 INFO mapreduce.Job:  map 100% reduce 85%
17/03/23 07:21:07 INFO mapreduce.Job:  map 100% reduce 86%
17/03/23 07:21:09 INFO mapreduce.Job:  map 100% reduce 87%
17/03/23 07:21:10 INFO mapreduce.Job:  map 100% reduce 91%
17/03/23 07:21:11 INFO mapreduce.Job:  map 100% reduce 92%
17/03/23 07:21:13 INFO mapreduce.Job:  map 100% reduce 93%
17/03/23 07:21:14 INFO mapreduce.Job:  map 100% reduce 94%
17/03/23 07:21:16 INFO mapreduce.Job:  map 100% reduce 95%
17/03/23 07:21:19 INFO mapreduce.Job:  map 100% reduce 96%
17/03/23 07:21:22 INFO mapreduce.Job:  map 100% reduce 97%
17/03/23 07:21:28 INFO mapreduce.Job:  map 100% reduce 98%
17/03/23 07:21:31 INFO mapreduce.Job:  map 100% reduce 99%
17/03/23 07:21:34 INFO mapreduce.Job:  map 100% reduce 100%
17/03/23 07:21:42 INFO mapreduce.Job: Job job_1490235534738_0005 completed successfully
17/03/23 07:21:42 INFO mapreduce.Job: Counters: 56
	File System Counters
		FILE: Number of bytes read=3421568890
		FILE: Number of bytes written=7223610664
		FILE: Number of read operations=0
		FILE: Number of large read operations=0
		FILE: Number of write operations=0
		GS: Number of bytes read=1141569921
		GS: Number of bytes written=236363348
		GS: Number of read operations=0
		GS: Number of large read operations=0
		GS: Number of write operations=0
		HDFS: Number of bytes read=427749
		HDFS: Number of bytes written=0
		HDFS: Number of read operations=3036
		HDFS: Number of large read operations=0
		HDFS: Number of write operations=0
	Job Counters 
		Killed map tasks=1
		Killed reduce tasks=2
		Launched map tasks=3036
		Launched reduce tasks=13
		Rack-local map tasks=3036
		Total time spent by all maps in occupied slots (ms)=70588356
		Total time spent by all reduces in occupied slots (ms)=35573082
		Total time spent by all map tasks (ms)=23529452
		Total time spent by all reduce tasks (ms)=5928847
		Total vcore-milliseconds taken by all map tasks=23529452
		Total vcore-milliseconds taken by all reduce tasks=11857694
